feature,importance
touches_proxy_game,0.26731284933261096
ast_pct,0.1151140270947126
usg_pct,0.09448950596764073
ast_roll5,0.053864430208814526
ast_home_avg,0.04844895309846895
ast_away_avg,0.036017132052564536
pts_roll10_x,0.03492960244261795
pts_home_avg,0.02929049083588044
ast_season_avg,0.025871215292841986
ast_std20,0.021870381890540056
opp_net_rating_roll20,0.018280762429126664
ast_std5,0.018095783879674143
pts_season_avg,0.015641871791977978
is_home,0.015176438077596981
pts_away_avg,0.014754754225878039
min_roll5,0.013958939424501472
ts_pct,0.01363064076708748
min_season_avg,0.011676705082270257
ast_std10,0.011446653015362202
opp_pts_allowed_roll20,0.010991751302426175
pts_std10,0.01039742523014072
opp_reb_allowed_to_position_roll10,0.01038790545404006
pts_std20,0.010137944271289032
opp_net_rating_roll10,0.009951574349465244
pts_std5,0.009368777505189862
opp_pts_allowed_roll10,0.008901257181342591
reb_away_avg,0.007782469746395943
reb_season_avg,0.007351589265468063
starter_flag,0.007270294362860284
opp_ast_allowed_to_position_roll10,0.006752753756848228
opp_pace_roll10,0.006285507338540544
implied_game_total,0.0056838927981866395
opp_pts_roll10,0.005510811121337805
opp_pts_allowed_roll5,0.0054529231249821975
oreb_pct,0.005242836757298053
tov_roll10,0.005097881284429317
ft_pct_roll5,0.004855067874070106
dreb_pct,0.001854297156359331
over_rate_pts_10,0.0008519032091618093
