feature,importance
dreb,0.8373093304310346
oreb,0.16267277663400886
pts_roll10,3.2230022762917636e-06
fg_pct_roll10,2.3652971237891076e-06
tov_roll20,1.201436859690219e-06
blk_roll20,1.1423271044806564e-06
fantasy_pts,9.356163216875564e-07
reb_roll20,8.152681595043079e-07
reb_roll5,8.126890762284939e-07
tov_roll5,7.786666122077914e-07
min_roll5,5.625392589366215e-07
season_id,4.812633358993178e-07
blk_roll5,4.2811449331800495e-07
min_roll10,4.275547540129701e-07
pts_roll5,4.071008525137318e-07
ast_roll10,4.038328797764388e-07
ast_roll5,3.3980765471463983e-07
reb_season_avg,3.299156811894136e-07
tov_roll10,3.163624713418773e-07
pts_roll20,3.120490645209229e-07
plus_minus_roll10,2.865454834171955e-07
stl_roll20,2.684795736763369e-07
plus_minus_roll5,2.4901949647514796e-07
fg_pct_roll5,2.2848906299428517e-07
fg_pct_roll20,2.228339478224842e-07
stl_roll10,2.1603517342777626e-07
stl_roll5,1.822008437416396e-07
days_rest,1.672476315880584e-07
plus_minus_roll20,1.6613651724017116e-07
pts_season_avg,1.2977221974686194e-07
ast_roll20,1.1039443730743487e-07
blk_roll10,9.411903371542052e-08
reb_roll10,9.155245905783484e-08
ast_season_avg,6.325337246857458e-08
min_roll20,5.398784946717298e-08
is_home,4.410273654550245e-08
is_back_to_back,3.5921137510740884e-08
video_available,0.0
