test_season,n_train,n_test,accuracy,roc_auc,brier_score
200506,5986,1230,0.6528,0.6854,0.2155
200607,7216,1230,0.6528,0.6605,0.2234
200708,8446,1230,0.7008,0.7422,0.1998
200809,9676,1230,0.6878,0.7378,0.2
200910,10906,1230,0.6902,0.7266,0.2053
201011,12136,1230,0.6878,0.7298,0.2022
201112,13366,990,0.6596,0.6992,0.2147
201213,14356,1230,0.674,0.7211,0.205
201314,15586,1230,0.6512,0.7166,0.2103
201415,16816,1230,0.6911,0.7382,0.2042
201516,18046,1230,0.6862,0.7315,0.2041
201617,19276,1230,0.6407,0.6834,0.219
201718,20506,1230,0.6732,0.6985,0.2151
201819,21736,1230,0.6602,0.7031,0.212
201920,22966,1059,0.6516,0.6999,0.2185
202021,24025,1080,0.6278,0.6777,0.225
202122,25105,1230,0.6642,0.7041,0.2181
202223,26335,1230,0.6195,0.6618,0.2251
202324,27565,1230,0.648,0.7249,0.2102
202425,28795,1225,0.6669,0.7314,0.2081
202526,30020,870,0.6552,0.7082,0.2166
