bin_low,bin_high,n_games,mean_pred,actual_rate,gap
0.0,0.1,11,0.08612257359118271,0.09090909090909091,-0.004786517317908204
0.1,0.2,156,0.1557668737091666,0.16025641025641027,-0.004489536547243683
0.2,0.3,227,0.2525177208816762,0.27312775330396477,-0.020610032422288593
0.3,0.4,253,0.3498079920014221,0.33992094861660077,0.009887043384821326
0.4,0.5,332,0.4527920941789707,0.4608433734939759,-0.008051279315005211
0.5,0.6,332,0.5496767968651076,0.5180722891566265,0.03160450770848111
0.6,0.7,327,0.651249824216618,0.6238532110091743,0.027396613207443687
0.7,0.8,400,0.7483740983869077,0.69,0.05837409838690777
0.8,0.9,383,0.8512151410342298,0.8485639686684073,0.002651172365822463
0.9,1.0,34,0.9084543121550493,0.9117647058823529,-0.0033103937273035733
