season,n_games,brier_score
200001,1189,0.20826
200102,1189,0.21894
200203,1189,0.20505
200304,1189,0.21387
200405,1230,0.20744
200506,1230,0.21616
200607,1230,0.22176
200708,1230,0.19898
200809,1230,0.1982
200910,1230,0.20419
201011,1230,0.20195
201112,990,0.21382
201213,1230,0.20589
201314,1230,0.21207
201415,1230,0.20654
201516,1230,0.20494
201617,1230,0.22042
201718,1230,0.21665
201819,1230,0.211
201920,1059,0.21902
202021,1080,0.22315
202122,1230,0.22054
202223,1230,0.22444
202324,1230,0.20889
202425,1225,0.20979
202526,921,0.21796
